"","Region","FY","All","Security","Economic","SecShare","EconShare","CAGR","CAGRdef","eCAGRdef","sCAGRdef"
"1","Africa ","2017",6441172.36376825,427666.152869707,6013506.21089854,0.06377004,0.508644032,1.48468276321747,0.290601224321541,-0.110233644529978,8.71317954051367
"2","East Asia and Pacific ","2017",791549.551183244,161895.910780669,629653.640402575,0.02414058,0.053258375,2.92896697143188,1.71789180292614,0.684877061655031,7.15627821737712
"3","Europe and Eurasia ","2017",713942.33384713,207838.425967903,506103.907879227,0.030991148,0.042808093,-0.0706855952698593,-1.24646647447524,-2.92073688344701,4.62031516643706
"4","Near East ","2017",6650240.27563696,4826252.60676399,1823987.66887297,0.719650882,0.154279452,3.67745584682118,2.45757386408656,4.74316604495923,1.71070831215254
"5","South and Central Asia ","2017",2354485.4474567,539758.817662526,1814726.62979418,0.080484372,0.15349612,1.37978333957964,0.186936060493137,1.0525548321062,-2.27081292830468
"6","Western Hemisphere ","2017",1577612.65753921,542968.537492066,1034644.12004715,0.080962979,0.087513929,1.17589409326651,-0.0145541993091913,-0.464491479139051,0.903166864575078
"7","Africa ","2016",6238963.64130928,390917.580923021,5848046.06038625,0.057280045,0.484076164,1.48468276321747,0.290601224321541,-0.110233644529978,8.71317954051367
"8","East Asia and Pacific ","2016",766667.875600689,143307.643485357,623360.232115332,0.020998463,0.051599086,2.92896697143188,1.71789180292614,0.684877061655031,7.15627821737712
"9","Europe and Eurasia ","2016",864312.267657993,190796.989754284,673515.277903708,0.027956942,0.055750705,-0.0706855952698593,-1.24646647447524,-2.92073688344701,4.62031516643706
"10","Near East ","2016",6640738.05422069,4994396.59080606,1646341.46341463,0.731814769,0.136277083,3.67745584682118,2.45757386408656,4.74316604495923,1.71070831215254
"11","South and Central Asia ","2016",2590380.81421706,605988.756913591,1984392.05730347,0.088793814,0.164259461,1.37978333957964,0.186936060493137,1.0525548321062,-2.27081292830468
"12","Western Hemisphere ","2016",1804449.17943603,499265.572581376,1305183.60685466,0.073155968,0.1080375,1.17589409326651,-0.0145541993091913,-0.464491479139051,0.903166864575078
"13","Africa ","2015",7494256.05222595,501683.742859733,6992572.30936622,0.073530645,0.589789895,1.48468276321747,0.290601224321541,-0.110233644529978,8.71317954051367
"14","East Asia and Pacific ","2015",707395.956115695,192073.624081966,515322.332033729,0.028151794,0.043464964,2.92896697143188,1.71789180292614,0.684877061655031,7.15627821737712
"15","Europe and Eurasia ","2015",685258.862997552,224292.320246623,460966.542750929,0.032874015,0.038880314,-0.0706855952698593,-1.24646647447524,-2.92073688344701,4.62031516643706
"16","Near East ","2015",6099182.15613383,4795076.61619367,1304105.53994016,0.702803472,0.10999504,3.67745584682118,2.45757386408656,4.74316604495923,1.71070831215254
"17","South and Central Asia ","2015",2255755.73488077,603680.29739777,1652075.437483,0.088480048,0.13934463,1.37978333957964,0.186936060493137,1.0525548321062,-2.27081292830468
"18","Western Hemisphere ","2015",1436975.24707589,505977.87650739,930997.370568501,0.074160026,0.078525157,1.17589409326651,-0.0145541993091913,-0.464491479139051,0.903166864575078
"19","Africa ","2014",6886464.65572568,395750.435500138,6490714.22022554,0.058332991,0.564072965,1.48468276321747,0.290601224321541,-0.110233644529978,8.71317954051367
"20","East Asia and Pacific ","2014",714712.569909233,154901.43944256,559811.130466673,0.022832228,0.048650166,2.92896697143188,1.71789180292614,0.684877061655031,7.15627821737712
"21","Europe and Eurasia ","2014",483098.927294398,166254.698817273,316844.228477125,0.024505681,0.027535223,-0.0706855952698593,-1.24646647447524,-2.92073688344701,4.62031516643706
"22","Near East ","2014",6454501.69615843,4928921.79334372,1525579.90281471,0.72651531,0.132579921,3.67745584682118,2.45757386408656,4.74316604495923,1.71070831215254
"23","South and Central Asia ","2014",2397688.64032273,630176.0337398,1767512.60658293,0.092886955,0.153604987,1.37978333957964,0.186936060493137,1.0525548321062,-2.27081292830468
"24","Western Hemisphere ","2014",1354736.4078115,508328.596314294,846407.811497204,0.074926835,0.073556738,1.17589409326651,-0.0145541993091913,-0.464491479139051,0.903166864575078
"25","Africa ","2013",7274049.63286551,462960.312296682,6811089.32056883,0.063380607,0.517751958,1.48468276321747,0.290601224321541,-0.110233644529978,8.71317954051367
"26","East Asia and Pacific ","2013",688843.758713635,118199.646807324,570644.111906311,0.016181874,0.043378099,2.92896697143188,1.71789180292614,0.684877061655031,7.15627821737712
"27","Europe and Eurasia ","2013",557841.806859373,190886.699507389,366955.107351984,0.026132942,0.02789447,-0.0706855952698593,-1.24646647447524,-2.92073688344701,4.62031516643706
"28","Near East ","2013",6671874.7095455,4966631.65721721,1705243.05232828,0.679946252,0.129625804,3.67745584682118,2.45757386408656,4.74316604495923,1.71070831215254
"29","South and Central Asia ","2013",3701319.82526257,972728.878148527,2728590.94711404,0.133169399,0.207416646,1.37978333957964,0.186936060493137,1.0525548321062,-2.27081292830468
"30","Western Hemisphere ","2013",1565638.07045264,593040.245375964,972597.82507668,0.081188926,0.073933024,1.17589409326651,-0.0145541993091913,-0.464491479139051,0.903166864575078
"31","Africa ","2012",7193792.12687624,317561.597281223,6876230.52959502,0.050026389,0.626294012,1.48468276321747,0.290601224321541,-0.110233644529978,8.71317954051367
"32","East Asia and Pacific ","2012",674926.83847824,109767.77116964,565159.0673086,0.017292032,0.051475258,2.92896697143188,1.71789180292614,0.684877061655031,7.15627821737712
"33","Europe and Eurasia ","2012",669568.583026527,152189.181534976,517379.401491551,0.023974798,0.047123438,-0.0706855952698593,-1.24646647447524,-2.92073688344701,4.62031516643706
"34","Near East ","2012",6202951.00538091,4771819.12583782,1431131.87954309,0.751718354,0.130348935,3.67745584682118,2.45757386408656,4.74316604495923,1.71070831215254
"35","South and Central Asia ","2012",864435.948267724,336408.00528651,528027.942981214,0.052995318,0.048093318,1.37978333957964,0.186936060493137,1.0525548321062,-2.27081292830468
"36","Western Hemisphere ","2012",1721444.35004248,660135.938827528,1061308.41121495,0.103993108,0.09666504,1.17589409326651,-0.0145541993091913,-0.464491479139051,0.903166864575078
"37","Africa ","2011",7616730.17705928,287553.887605851,7329176.28945343,0.03936491,0.483035647,1.48468276321747,0.290601224321541,-0.110233644529978,8.71317954051367
"38","East Asia and Pacific ","2011",714846.997690531,91179.753656659,623667.244033872,0.012482122,0.041103324,2.92896697143188,1.71789180292614,0.684877061655031,7.15627821737712
"39","Europe and Eurasia ","2011",787148.768283295,174310.046189376,612838.722093918,0.023862308,0.040389661,-0.0706855952698593,-1.24646647447524,-2.92073688344701,4.62031516643706
"40","Near East ","2011",6748749.03772132,4942288.2986913,1806460.73903002,0.676578349,0.119056344,3.67745584682118,2.45757386408656,4.74316604495923,1.71070831215254
"41","South and Central Asia ","2011",4824349.49961509,1202918.59122402,3621411.66281755,0.164674464,0.238672241,1.37978333957964,0.186936060493137,1.0525548321062,-2.27081292830468
"42","Western Hemisphere ","2011",1786180.71593534,606577.174749808,1179603.54118553,0.083037848,0.077742783,1.17589409326651,-0.0145541993091913,-0.464491479139051,0.903166864575078
"43","Africa ","2010",6929480.13732222,299378.126532614,6630102.0107896,0.03975278,0.450663278,1.48468276321747,0.290601224321541,-0.110233644529978,8.71317954051367
"44","East Asia and Pacific ","2010",761161.353604708,118481.608631682,642679.744973026,0.015732523,0.04368442,2.92896697143188,1.71789180292614,0.684877061655031,7.15627821737712
"45","Europe and Eurasia ","2010",849936.243256498,185777.341834232,664158.901422266,0.024668355,0.045144408,-0.0706855952698593,-1.24646647447524,-2.92073688344701,4.62031516643706
"46","Near East ","2010",6372840.60814125,4706499.26434527,1666341.34379598,0.62495023,0.113265053,3.67745584682118,2.45757386408656,4.74316604495923,1.71070831215254
"47","South and Central Asia ","2010",5021768.51397744,1152746.44433546,3869022.06964198,0.15306688,0.262986326,1.37978333957964,0.186936060493137,1.0525548321062,-2.27081292830468
"48","Western Hemisphere ","2010",2307687.10152035,1068115.74301128,1239571.35850907,0.141829233,0.084256515,1.17589409326651,-0.0145541993091913,-0.464491479139051,0.903166864575078
"49","Africa ","2009",6645076.37017071,185626.435060397,6459449.93511031,0.030761458,0.569160888,1.48468276321747,0.290601224321541,-0.110233644529978,8.71317954051367
"50","East Asia and Pacific ","2009",663672.756314266,90849.5557552161,572823.20055905,0.015055317,0.050473115,2.92896697143188,1.71789180292614,0.684877061655031,7.15627821737712
"51","Europe and Eurasia ","2009",778358.790056903,138041.329739443,640317.46031746,0.022875796,0.056420231,-0.0706855952698593,-1.24646647447524,-2.92073688344701,4.62031516643706
"52","Near East ","2009",4898640.3114705,4126878.30687831,771762.004592193,0.683893934,0.068002191,3.67745584682118,2.45757386408656,4.74316604495923,1.71070831215254
"53","South and Central Asia ","2009",2393875.41179994,648316.861335729,1745558.55046421,0.107437132,0.153806232,1.37978333957964,0.186936060493137,1.0525548321062,-2.27081292830468
"54","Western Hemisphere ","2009",2003835.47968454,844671.059199361,1159164.42048518,0.139976363,0.102137343,1.17589409326651,-0.0145541993091913,-0.464491479139051,0.903166864575078
"55","Africa ","2008",6233364.39234546,200292.555856127,6033071.83648933,0.035162352,0.539440093,1.48468276321747,0.290601224321541,-0.110233644529978,8.71317954051367
"56","East Asia and Pacific ","2008",674530.608155495,86333.0327622483,588197.575393247,0.015156192,0.052593001,2.92896697143188,1.71789180292614,0.684877061655031,7.15627821737712
"57","Europe and Eurasia ","2008",793942.490732392,137493.237150586,656449.253581805,0.02413762,0.058695646,-0.0706855952698593,-1.24646647447524,-2.92073688344701,4.62031516643706
"58","Near East ","2008",5309338.74361286,4115377.21671175,1193961.52690111,0.722474887,0.10675668,3.67745584682118,2.45757386408656,4.74316604495923,1.71070831215254
"59","South and Central Asia ","2008",2299830.67828875,659296.663660956,1640534.01462779,0.1157428,0.146686438,1.37978333957964,0.186936060493137,1.0525548321062,-2.27081292830468
"60","Western Hemisphere ","2008",1569166.41619076,497429.115319106,1071737.30087166,0.087326149,0.095828143,1.17589409326651,-0.0145541993091913,-0.464491479139051,0.903166864575078
